column,enzyme_id,replicate,substrate_concentration,enzyme_concentration_mM
A1,WT,1,0,0.000180555555556
A2,WT,1,20,0.000180555555556
A3,WT,1,60,0.000180555555556
A4,WT,1,100,0.000180555555556
A5,WT,1,150,0.000180555555556
A6,WT,1,200,0.000180555555556
A7,WT,1,300,0.000180555555556
A8,WT,1,400,0.000180555555556
B1,WT,2,0,0.000180555555556
B2,WT,2,20,0.000180555555556
B3,WT,2,60,0.000180555555556
B4,WT,2,100,0.000180555555556
B5,WT,2,150,0.000180555555556
B6,WT,2,200,0.000180555555556
B7,WT,2,300,0.000180555555556
B8,WT,2,400,0.000180555555556
C1,F97W,1,0,0.000180555555556
C2,F97W,1,20,0.000180555555556
C3,F97W,1,60,0.000180555555556
C4,F97W,1,100,0.000180555555556
C5,F97W,1,150,0.000180555555556
C6,F97W,1,200,0.000180555555556
C7,F97W,1,300,0.000180555555556
C8,F97W,1,400,0.000180555555556
D1,F97W,2,0,0.000180555555556
D2,F97W,2,20,0.000180555555556
D3,F97W,2,60,0.000180555555556
D4,F97W,2,100,0.000180555555556
D5,F97W,2,150,0.000180555555556
D6,F97W,2,200,0.000180555555556
D7,F97W,2,300,0.000180555555556
D8,F97W,2,400,0.000180555555556
