column,enzyme_id,replicate,substrate_concentration,enzyme_concentration_mM,rate(mM/s),R2,linear_region(min)
A1,WT,1,0,0.000180555555556,0.0,0.9993,0-47
A2,WT,1,20,0.000180555555556,0.0014,0.9996,0-46
A3,WT,1,60,0.000180555555556,0.0018,0.9994,0-46
A4,WT,1,100,0.000180555555556,0.0034,0.9983,0-45
A5,WT,1,150,0.000180555555556,0.0074,0.998,0-45
A6,WT,1,200,0.000180555555556,0.0057,0.9991,0-45
A7,WT,1,300,0.000180555555556,0.0074,0.9991,0-45
A8,WT,1,400,0.000180555555556,0.0072,0.9996,0-45
B1,WT,2,0,0.000180555555556,0.0,1.0,0-47
B2,WT,2,20,0.000180555555556,0.0019,0.9998,0-46
B3,WT,2,60,0.000180555555556,0.0025,0.9996,0-46
B4,WT,2,100,0.000180555555556,0.0031,0.9996,0-46
B5,WT,2,150,0.000180555555556,0.0046,0.9996,0-45
B6,WT,2,200,0.000180555555556,0.008,0.9985,0-44
B7,WT,2,300,0.000180555555556,0.0088,0.998,0-44
B8,WT,2,400,0.000180555555556,0.0089,0.9996,0-44
C1,F97W,1,0,0.000180555555556,0.0,0.9991,0-48
C2,F97W,1,20,0.000180555555556,0.0034,0.998,0-46
C3,F97W,1,60,0.000180555555556,0.0046,0.9976,0-46
C4,F97W,1,100,0.000180555555556,0.0079,0.9982,0-45
C5,F97W,1,150,0.000180555555556,0.0116,0.9987,0-44
C6,F97W,1,200,0.000180555555556,0.0121,0.9963,0-44
C7,F97W,1,300,0.000180555555556,0.0152,0.996,0-44
C8,F97W,1,400,0.000180555555556,0.0158,0.9992,0-43
D1,F97W,2,0,0.000180555555556,0.0,0.9984,0-47
D2,F97W,2,20,0.000180555555556,0.0016,0.998,0-46
D3,F97W,2,60,0.000180555555556,0.0052,0.9973,0-45
D4,F97W,2,100,0.000180555555556,0.0064,0.9986,0-45
D5,F97W,2,150,0.000180555555556,0.0091,0.9978,0-44
D6,F97W,2,200,0.000180555555556,0.0125,0.9977,0-44
D7,F97W,2,300,0.000180555555556,0.0132,0.9985,0-44
D8,F97W,2,400,0.000180555555556,0.0147,0.9996,0-43
